2022-03-13T00:00:00.000+01:00,5300
2022-07-12T00:00:00.000+02:00,1645
2022-05-22T00:00:00.000+02:00,65
2022-05-03T00:00:00.000+02:00,173
2022-06-19T00:00:00.000+02:00,47
2022-06-14T00:00:00.000+02:00,234
2022-03-28T00:00:00.000+02:00,6605
2022-04-15T00:00:00.000+02:00,1076
2022-07-07T00:00:00.000+02:00,1045
2022-06-12T00:00:00.000+02:00,45
2022-05-06T00:00:00.000+02:00,704
2022-08-22T00:00:00.000+02:00,6171
2022-06-07T00:00:00.000+02:00,204
2022-04-24T00:00:00.000+02:00,267
2022-07-02T00:00:00.000+02:00,156
2022-07-09T00:00:00.000+02:00,284
2022-06-04T00:00:00.000+02:00,62
2022-06-17T00:00:00.000+02:00,255
2022-04-22T00:00:00.000+02:00,1240
2022-08-02T00:00:00.000+02:00,4472
2022-05-27T00:00:00.000+02:00,264
2022-06-18T00:00:00.000+02:00,65
2022-04-20T00:00:00.000+02:00,1176
2022-08-01T00:00:00.000+02:00,5642
2022-05-26T00:00:00.000+02:00,262
2022-09-12T00:00:00.000+02:00,7867
2022-03-24T00:00:00.000+01:00,8234
2022-07-05T00:00:00.000+02:00,965
2022-07-17T00:00:00.000+02:00,316
2022-04-07T00:00:00.000+02:00,1330
2022-05-01T00:00:00.000+02:00,188
2022-10-04T00:00:00.000+02:00,3187
2022-09-04T00:00:00.000+02:00,480
2022-05-17T00:00:00.000+02:00,388
2022-04-13T00:00:00.000+02:00,1185
2022-04-03T00:00:00.000+02:00,495
2022-08-26T00:00:00.000+02:00,3930
2022-06-21T00:00:00.000+02:00,322
2022-05-16T00:00:00.000+02:00,511
2022-09-29T00:00:00.000+02:00,3887
2022-07-24T00:00:00.000+02:00,588
2022-08-23T00:00:00.000+02:00,4390
2022-04-26T00:00:00.000+02:00,1038
2022-05-10T00:00:00.000+02:00,566
2022-07-27T00:00:00.000+02:00,3513
2022-04-09T00:00:00.000+02:00,439
2022-07-16T00:00:00.000+02:00,397
2022-10-07T00:00:00.000+02:00,3741
2022-09-23T00:00:00.000+02:00,4533
2022-03-18T00:00:00.000+01:00,10366
2022-08-16T00:00:00.000+02:00,7173
2022-09-27T00:00:00.000+02:00,4874
2022-03-25T00:00:00.000+01:00,6631
2022-09-06T00:00:00.000+02:00,4446
2022-10-01T00:00:00.000+02:00,308
2022-07-10T00:00:00.000+02:00,226
2022-05-18T00:00:00.000+02:00,359
2022-08-18T00:00:00.000+02:00,4816
2022-05-12T00:00:00.000+02:00,468
2022-04-28T00:00:00.000+02:00,856
2022-05-05T00:00:00.000+02:00,610
2022-06-08T00:00:00.000+02:00,273
2022-09-25T00:00:00.000+02:00,730
2022-03-17T00:00:00.000+01:00,11655
2022-06-11T00:00:00.000+02:00,56
2022-05-21T00:00:00.000+02:00,94
2022-04-23T00:00:00.000+02:00,344
2022-09-08T00:00:00.000+02:00,4554
2022-09-17T00:00:00.000+02:00,672
2022-07-22T00:00:00.000+02:00,3486
2022-04-25T00:00:00.000+02:00,1355
2022-03-16T00:00:00.000+01:00,12272
2022-05-07T00:00:00.000+02:00,199
2022-05-15T00:00:00.000+02:00,95
2022-03-22T00:00:00.000+01:00,10428
2022-05-13T00:00:00.000+02:00,432
2022-07-19T00:00:00.000+02:00,2850
2022-08-29T00:00:00.000+02:00,5295
2022-06-16T00:00:00.000+02:00,48
2022-06-02T00:00:00.000+02:00,236
2022-04-01T00:00:00.000+02:00,2101
2022-03-29T00:00:00.000+02:00,5735
2022-08-24T00:00:00.000+02:00,3850
2022-06-06T00:00:00.000+02:00,337
2022-04-19T00:00:00.000+02:00,1527
2022-04-11T00:00:00.000+02:00,1621
2022-10-10T00:00:00.000+02:00,3293
2022-04-17T00:00:00.000+02:00,267
2022-06-27T00:00:00.000+02:00,696
2022-10-02T00:00:00.000+02:00,226
2022-08-14T00:00:00.000+02:00,772
2022-08-09T00:00:00.000+02:00,4478
2022-07-11T00:00:00.000+02:00,2034
2022-06-15T00:00:00.000+02:00,228
2022-08-27T00:00:00.000+02:00,607
2022-05-04T00:00:00.000+02:00,911
2022-08-25T00:00:00.000+02:00,3849
2022-07-28T00:00:00.000+02:00,3386
2022-03-30T00:00:00.000+02:00,4994
2022-03-20T00:00:00.000+01:00,4182
2022-07-15T00:00:00.000+02:00,2129
2022-06-20T00:00:00.000+02:00,374
2022-04-10T00:00:00.000+02:00,381
2022-09-02T00:00:00.000+02:00,3270
2022-09-21T00:00:00.000+02:00,4939
2022-05-29T00:00:00.000+02:00,83
2022-05-31T00:00:00.000+02:00,257
2022-08-04T00:00:00.000+02:00,4293
2022-08-31T00:00:00.000+02:00,3340
2022-07-29T00:00:00.000+02:00,3683
2022-07-25T00:00:00.000+02:00,5103
2022-07-21T00:00:00.000+02:00,3033
2022-07-18T00:00:00.000+02:00,3247
2022-03-12T00:00:00.000+01:00,7575
2022-03-27T00:00:00.000+01:00,2367
2022-08-07T00:00:00.000+02:00,598
2022-07-20T00:00:00.000+02:00,2993
2022-04-18T00:00:00.000+02:00,302
2022-04-12T00:00:00.000+02:00,1265
2022-08-28T00:00:00.000+02:00,554
2022-04-27T00:00:00.000+02:00,957
2022-07-13T00:00:00.000+02:00,1839
2022-09-07T00:00:00.000+02:00,4222
2022-05-11T00:00:00.000+02:00,500
2022-04-06T00:00:00.000+02:00,1486
2022-09-13T00:00:00.000+02:00,6133
2022-07-04T00:00:00.000+02:00,1075
2022-07-03T00:00:00.000+02:00,119
2022-09-09T00:00:00.000+02:00,4969
2022-08-08T00:00:00.000+02:00,5958
2022-04-08T00:00:00.000+02:00,1412
2022-10-03T00:00:00.000+02:00,4615
2022-08-30T00:00:00.000+02:00,3839
2022-09-03T00:00:00.000+02:00,499
2022-03-31T00:00:00.000+02:00,4048
2022-03-26T00:00:00.000+01:00,3495
2022-04-04T00:00:00.000+02:00,1887
2022-03-23T00:00:00.000+01:00,8989
2022-07-06T00:00:00.000+02:00,1068
2022-05-23T00:00:00.000+02:00,420
2022-08-13T00:00:00.000+02:00,774
2022-09-30T00:00:00.000+02:00,3565
2022-03-19T00:00:00.000+01:00,5688
2022-05-02T00:00:00.000+02:00,889
2022-09-11T00:00:00.000+02:00,657
2022-09-05T00:00:00.000+02:00,5843
2022-06-10T00:00:00.000+02:00,263
2022-06-09T00:00:00.000+02:00,247
2022-09-16T00:00:00.000+02:00,5433
2022-04-30T00:00:00.000+02:00,233
2022-09-20T00:00:00.000+02:00,5631
2022-08-12T00:00:00.000+02:00,4639
2022-03-15T00:00:00.000+01:00,14469
2022-09-26T00:00:00.000+02:00,6477
2022-05-14T00:00:00.000+02:00,139
2022-05-09T00:00:00.000+02:00,726
2022-09-24T00:00:00.000+02:00,740
2022-05-25T00:00:00.000+02:00,249
2022-08-17T00:00:00.000+02:00,5270
2022-05-20T00:00:00.000+02:00,336
2022-09-10T00:00:00.000+02:00,648
2022-10-08T00:00:00.000+02:00,462
2022-10-11T00:00:00.000+02:00,2362
2022-03-21T00:00:00.000+01:00,10139
2022-06-22T00:00:00.000+02:00,305
2022-08-11T00:00:00.000+02:00,4222
2022-06-26T00:00:00.000+02:00,87
2022-06-13T00:00:00.000+02:00,319
2022-06-28T00:00:00.000+02:00,544
2022-09-22T00:00:00.000+02:00,4433
2022-05-28T00:00:00.000+02:00,83
2022-08-03T00:00:00.000+02:00,4476
2022-09-01T00:00:00.000+02:00,3449
2022-06-29T00:00:00.000+02:00,588
2022-06-05T00:00:00.000+02:00,53
2022-09-14T00:00:00.000+02:00,5854
2022-06-25T00:00:00.000+02:00,97
2022-05-08T00:00:00.000+02:00,183
2022-05-24T00:00:00.000+02:00,284
2022-09-19T00:00:00.000+02:00,7674
2022-08-15T00:00:00.000+02:00,807
2022-06-23T00:00:00.000+02:00,348
2022-08-21T00:00:00.000+02:00,722
2022-10-05T00:00:00.000+02:00,2882
2022-03-14T00:00:00.000+01:00,12683
2022-08-20T00:00:00.000+02:00,765
2022-06-30T00:00:00.000+02:00,643
2022-04-14T00:00:00.000+02:00,1194
2022-07-23T00:00:00.000+02:00,642
2022-10-09T00:00:00.000+02:00,385
2022-08-19T00:00:00.000+02:00,4821
2022-04-02T00:00:00.000+02:00,553
2022-06-24T00:00:00.000+02:00,343
2022-07-31T00:00:00.000+02:00,616
2022-04-05T00:00:00.000+02:00,1572
2022-10-06T00:00:00.000+02:00,2624
2022-06-01T00:00:00.000+02:00,220
2022-07-01T00:00:00.000+02:00,616
2022-05-19T00:00:00.000+02:00,313
2022-09-28T00:00:00.000+02:00,4272
2022-07-26T00:00:00.000+02:00,3692
2022-04-29T00:00:00.000+02:00,842
2022-08-10T00:00:00.000+02:00,4316
2022-07-08T00:00:00.000+02:00,1262
2022-06-03T00:00:00.000+02:00,253
2022-08-06T00:00:00.000+02:00,697
2022-07-30T00:00:00.000+02:00,650
2022-07-14T00:00:00.000+02:00,1972
2022-05-30T00:00:00.000+02:00,346
2022-08-05T00:00:00.000+02:00,4408
2022-04-21T00:00:00.000+02:00,1096
2022-04-16T00:00:00.000+02:00,311
2022-09-18T00:00:00.000+02:00,720
2022-09-15T00:00:00.000+02:00,5427
2022-02-23T00:00:00.000+01:00,18271
2022-03-02T00:00:00.000+01:00,14068
2022-02-22T00:00:00.000+01:00,20438
2022-03-10T00:00:00.000+01:00,11630
2022-02-09T00:00:00.000+01:00,42084
2022-03-11T00:00:00.000+01:00,11115
2022-02-21T00:00:00.000+01:00,18789
2022-02-25T00:00:00.000+01:00,13956
2022-02-14T00:00:00.000+01:00,22239
2022-02-13T00:00:00.000+01:00,13458
2022-02-19T00:00:00.000+01:00,13699
2022-02-16T00:00:00.000+01:00,29214
2022-02-20T00:00:00.000+01:00,9575
2022-02-17T00:00:00.000+01:00,23964
2022-02-11T00:00:00.000+01:00,31312
2022-03-01T00:00:00.000+01:00,14729
2022-02-15T00:00:00.000+01:00,28849
2022-03-09T00:00:00.000+01:00,13430
2022-02-18T00:00:00.000+01:00,20887
2022-03-06T00:00:00.000+01:00,5605
2022-03-05T00:00:00.000+01:00,7694
2022-03-04T00:00:00.000+01:00,12739
2022-02-24T00:00:00.000+01:00,16719
2022-03-08T00:00:00.000+01:00,14407
2022-02-10T00:00:00.000+01:00,35757
2022-03-03T00:00:00.000+01:00,12477
2022-02-28T00:00:00.000+01:00,12984
2022-02-12T00:00:00.000+01:00,22059
2022-03-07T00:00:00.000+01:00,13173
2022-02-26T00:00:00.000+01:00,8897
2022-02-27T00:00:00.000+01:00,6561
2022-01-28T00:00:00.000+01:00,57926
2022-01-29T00:00:00.000+01:00,54171
2022-02-05T00:00:00.000+01:00,38471
2022-01-27T00:00:00.000+01:00,64204
2022-02-02T00:00:00.000+01:00,61141
2022-01-31T00:00:00.000+01:00,44033
2022-02-07T00:00:00.000+01:00,35933
2022-02-06T00:00:00.000+01:00,24378
2022-02-08T00:00:00.000+01:00,46846
2022-02-01T00:00:00.000+01:00,63248
2022-01-30T00:00:00.000+01:00,36920
2022-02-03T00:00:00.000+01:00,53329
2022-02-04T00:00:00.000+01:00,51089
2022-01-09T00:00:00.000+01:00,8342
2022-01-18T00:00:00.000+01:00,34202
2022-01-11T00:00:00.000+01:00,17542
2022-01-20T00:00:00.000+01:00,40877
2022-01-26T00:00:00.000+01:00,64784
2022-01-17T00:00:00.000+01:00,21812
2022-01-19T00:00:00.000+01:00,36559
2022-01-21T00:00:00.000+01:00,45544
2022-01-14T00:00:00.000+01:00,18486
2022-01-23T00:00:00.000+01:00,32252
2022-01-24T00:00:00.000+01:00,41384
2022-01-25T00:00:00.000+01:00,60146
2022-01-12T00:00:00.000+01:00,18338
2022-01-13T00:00:00.000+01:00,17467
2022-01-16T00:00:00.000+01:00,11412
2022-01-22T00:00:00.000+01:00,37695
2022-01-10T00:00:00.000+01:00,12308
2022-01-15T00:00:00.000+01:00,16023
2021-12-31T00:00:00.000+01:00,12414
2021-12-15T00:00:00.000+01:00,22460
2021-12-19T00:00:00.000+01:00,9745
2021-12-23T00:00:00.000+01:00,15676
2021-12-29T00:00:00.000+01:00,14778
2021-12-22T00:00:00.000+01:00,17471
2021-12-21T00:00:00.000+01:00,18345
2021-12-10T00:00:00.000+01:00,24158
2021-12-25T00:00:00.000+01:00,6351
2021-12-06T00:00:00.000+01:00,19708
2022-01-02T00:00:00.000+01:00,6662
2021-12-17T00:00:00.000+01:00,19730
2022-01-08T00:00:00.000+01:00,11779
2021-12-11T00:00:00.000+01:00,19723
2021-12-26T00:00:00.000+01:00,5126
2021-12-28T00:00:00.000+01:00,16033
2021-12-04T00:00:00.000+01:00,22781
2022-01-05T00:00:00.000+01:00,17487
2021-12-07T00:00:00.000+01:00,29034
2021-12-14T00:00:00.000+01:00,24674
2021-12-05T00:00:00.000+01:00,13465
2021-12-09T00:00:00.000+01:00,25419
2022-01-07T00:00:00.000+01:00,11560
2021-12-20T00:00:00.000+01:00,14055
2021-12-18T00:00:00.000+01:00,16267
2021-12-13T00:00:00.000+01:00,17763
2021-12-27T00:00:00.000+01:00,10081
2021-12-08T00:00:00.000+01:00,27943
2022-01-03T00:00:00.000+01:00,12252
2022-01-04T00:00:00.000+01:00,18114
2022-01-01T00:00:00.000+01:00,7427
2021-12-03T00:00:00.000+01:00,26023
2021-12-30T00:00:00.000+01:00,14070
2021-12-24T00:00:00.000+01:00,11002
2022-01-06T00:00:00.000+01:00,12590
2021-12-12T00:00:00.000+01:00,11578
2021-12-16T00:00:00.000+01:00,20361
2021-11-27T00:00:00.000+01:00,20948
2021-10-29T00:00:00.000+02:00,9929
2021-11-14T00:00:00.000+01:00,9646
2021-11-13T00:00:00.000+01:00,14571
2021-11-25T00:00:00.000+01:00,27151
2021-11-05T00:00:00.000+01:00,15428
2021-11-15T00:00:00.000+01:00,16873
2021-10-28T00:00:00.000+02:00,9500
2021-11-09T00:00:00.000+01:00,18801
2021-10-26T00:00:00.000+02:00,8458
